,기초재고 수량,기초재고 금액,구매입고 수량,구매입고 금액,생산입고 수량,생산입고 금액,외주입고 수량,외주입고 금액,이전입고 수량,이전입고 금액,기타입고 수량,기타입고 금액,누적재고 수량,누적재고 금액,판매출고 수량,판매출고 금액,공정출고 수량,공정출고 금액,외주출고 수량,외주출고 금액,이전출고 수량,이전출고 금액,기타출고 수량,기타출고 금액,기말재고 수량,기말재고 금액
0,0.0,0.0,7000000,7000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,7000000000.0,0.0,0.0,6473600.0,6473600000.0,0.0,0,0.0,0,0.0,0,526400.0,526400000.0
1,0.0,0.0,9000000,10800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0,10800000000.0,0.0,0.0,8469200.0,10163040000.0,0.0,0,0.0,0,0.0,0,530800.0,636960000.0
2,0.0,0.0,2000000,2400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2400000000.0,0.0,0.0,1469200.0,1763040000.0,0.0,0,0.0,0,0.0,0,530800.0,636960000.0
3,0.0,0.0,50000,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,5000000.0,0.0,0.0,32824.0,3282400.0,0.0,0,0.0,0,0.0,0,17176.0,1717600.0
4,0.0,0.0,60000,6600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,6600000.0,0.0,0.0,32824.0,3610640.0,0.0,0,0.0,0,0.0,0,27176.0,2989360.0
5,0.0,0.0,10000,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1200000.0,0.0,0.0,6180.0,741600.0,0.0,0,0.0,0,0.0,0,3820.0,458400.0
6,0.0,0.0,0,0.0,2884000.0,3250982935.0634828,0.0,0.0,0.0,0.0,0.0,0.0,2884000.0,3250982935.0634828,0.0,0.0,2800000.0,3156294111.712119,0.0,0,0.0,0,0.0,0,84000.0,94688823.35136366
7,0.0,0.0,0,0.0,3440000.0,4493000369.23206,0.0,0.0,0.0,0.0,0.0,0.0,3440000.0,4493000369.23206,0.0,0.0,3340000.0,4362389893.382292,0.0,0,0.0,0,0.0,0,100000.0,130610475.84976864
8,0.0,0.0,0,0.0,3208000.0,3872851253.704457,0.0,0.0,0.0,0.0,0.0,0.0,3208000.0,3872851253.704457,0.0,0.0,3115000.0,3760577199.279733,0.0,0,0.0,0,0.0,0,93000.0,112274054.42472363
9,0.0,0.0,0,0.0,3790000.0,4654120404.3401165,0.0,0.0,0.0,0.0,0.0,0.0,3790000.0,4654120404.3401165,0.0,0.0,1920000.0,2357760204.837209,0.0,0,0.0,0,0.0,0,1870000.0,2296360199.5029073
10,0.0,0.0,0,0.0,3090000.0,4166061929.6598835,0.0,0.0,0.0,0.0,0.0,0.0,3090000.0,4166061929.6598835,0.0,0.0,3000000.0,4044720320.0581393,0.0,0,0.0,0,0.0,0,90000.0,121341609.60174417
11,0.0,0.0,0,0.0,1400000.0,1960034109.9416654,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,1960034109.9416654,1400000.0,1960034109.9416654,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
12,0.0,0.0,0,0.0,1200000.0,1638461396.2704535,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,1638461396.2704535,1200000.0,1638461396.2704535,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
13,0.0,0.0,0,0.0,1500000.0,2593909736.9625125,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,2593909736.9625125,1500000.0,2593909736.9625125,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
14,0.0,0.0,0,0.0,1400000.0,2235473676.586446,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,2235473676.586446,1400000.0,2235473676.586446,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
15,0.0,0.0,0,0.0,1200000.0,2321383612.430232,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,2321383612.430232,1200000.0,2321383612.430232,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
16,0.0,0.0,0,0.0,1200000.0,2135802690.9612403,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,2135802690.9612403,1200000.0,2135802690.9612403,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
17,0.0,0.0,0,0.0,1400000.0,2302067019.4416656,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,2302067019.4416656,1400000.0,2302067019.4416656,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
18,0.0,0.0,0,0.0,1500000.0,2332588189.838067,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,2332588189.838067,1500000.0,2332588189.838067,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
19,0.0,0.0,0,0.0,1600000.0,2789932973.837209,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,2789932973.837209,1600000.0,2789932973.837209,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0
